CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
b236c77d59e32b7b469a6e2f17f438b7457e1bd8bc689b14cb4f5b1590cbe784f2b9e554b41925797251cbd3e93a3f4a131d1923b327673d441ae79c052f79c2,,07/29/2023 01:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/29/2023 01:46:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1732,N,LA SALLE DR,1814,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,13,7,7,,,
3b6d23138e3f009e54ae5ef25061e9e96fe44fd0e62afa71574bb0e8dc01a37770b93f081a7b4241b8d7b1869deafdeb6b143c4ac76ec01e61ba8a7d9c1494d4,,12/09/2021 10:30,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",12/09/2021 10:35,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,850,W,OHARE ST,1654,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,10,5,12,,,
0e208d23344f0d1b3a9fcd4bb07676a750ddb73c397b5c398a33743fd0d49b8ce737c7740b1a77cdaebd61e8e79bddb284452d744b16668f9777f256eec28ff5,,08/13/2023 01:30:00 PM,35,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/13/2023 07:40:00 PM,IMPROPER BACKING,UNABLE TO DETERMINE,9000,S,PROSPECT AVE,2221,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,1,8,,,
0e1483038d0d666433304ca8202ef6b63a9faf0c1a10f4119e0171d41b0340538033f95f72f00c93418581c0f2b3d8e96842fac6d05af8e006b3111ff6a06927,,09/21/2023 04:10:00 PM,25,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,RAMP,,"CURVE, LEVEL",WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",09/21/2023 04:10:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,5,W,TERMINAL ST,1655,,,,,,,2,"REPORTED, NOT EVIDENT",2,0,0,0,2,1,0,16,5,9,,,
14386daec6219c6032b71612b28f0e4cd38e2898f39aae84deeb4efaf165253548cb27cb90088b2d4f9d3e484aa1e7f5076969da4d3b8137a43a3dc94536ac19,,08/13/2023 12:11:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",08/13/2023 12:11:00 AM,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,5900,S,WENTWORTH AVE,232,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,1,8,,,
a3edd16c371e6e2a199648b326a547388557871016d76ad78e460c1006d2aed959114d690d9aeab302db2894fd6dcbc0ccc64edd2e316729237a34b42149613c,,09/22/2023 06:40:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",09/22/2023 07:30:00 AM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,10000,W,BALMORAL AVE,1650,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,6,9,,,
3facd2ed99a27da2f5572605b9434167a6fa7777243e0481380665a1fb795baf659dfe7708c09ef515e707dfcfed73b8ee78930563049f97099a7671dc9d0b53,,09/27/2019 06:00:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DUSK,PEDESTRIAN,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",09/27/2019 06:00:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,2517,S,CALIFORNIA AVE,1034,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,18,6,9,,,
4502c89bb17d2a4817c517541350b1470636cc9c29e6fd47190a3399e7ed6d02ed1b3a0330d0332a4aa3c0a3003625a40ab4a4d576149634edba035b98adc95c,,02/19/2019 05:30:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,ONE-WAY,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",02/19/2019 06:00:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1,W,TERMINAL ST,1651,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,5,3,2,,,
fd05285e9d273fe20cbbebf84794045828a2ba589073b6c92a05f7656d6a31172e5e79847caf4c04f3bebf91ed7f2cab1a871cf53690f71f3d940f839a1c8fc4,,07/29/2023 02:30:00 PM,10,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,ANGLE,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",08/03/2023 13:55,UNABLE TO DETERMINE,NOT APPLICABLE,1320,E,47TH ST,222,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,7,7,41.80978115,-87.59421281,POINT (-87.594212812011 41.809781151018)
fda2491d33ac819033f4aaa7ed901120f2f6785b7e5bbbbf99eb6d56847d5de207d7697261a182f12a2a47fbeb3fbaa5c3c767d3ac099675e65e09f345b7e7f4,,07/29/2023 12:50:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/29/2023 07:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,999,N,CALIFORNIA AVE,1211,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,7,7,41.8992246,-87.69664238,POINT (-87.696642374961 41.899224596015)
c9053169f9e6d24f3035623ecfd0a70c1cb3adba409b7dfa9b32e09df7001653df2e51b4b227e549395e11fb5f0b7fd7abd47a052aec0b4c5c176a3e8080c2b6,,09/22/2023 10:46:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",09/22/2023 10:46:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,173,N,BESSIE COLEMAN DR,1654,,,,,,,2,INCAPACITATING INJURY,5,0,5,0,0,0,0,22,6,9,,,
456dd9d9bc16f505f93bd2ef89b174348c36dadf1fdc0a77be44e5c89c2e8a89951ae15cc8dced3db2cd3bd7e4c0da27f348cc64db31231202db5cd03ed63bc6,,05/24/2021 03:35:00 PM,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",05/24/2021 03:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,517,W,OHARE ST,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,2,5,,,
4687a6dac6873f8104f79e3979573c088464d3cb38c9174f22e14d9dc0a985f214f864c90721fe8fe4fdfa579c0d0ef3113f1c3d1826ac12677f4b92bdcbd6bf,,11/27/2022 03:15:00 PM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/27/2022 03:25:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,1,W,TERMINAL ST,1651,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,3,0,15,1,11,,,
46fa1015e8c466dde2a9a5db8a3b9f6e95e84f2f06638689c46fce9bdbb8bedf2bd7cdf59d7c6cc95fa57f1c33da85c0ececc8415c9b105157d06675f9f367c6,,06/10/2019 13:20,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",06/10/2019 13:45,UNABLE TO DETERMINE,NOT APPLICABLE,1,W,TERMINAL ST,1651,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,2,6,,,
4a474e553cbf4d17eeb20981bf2c03572ac566cf1ba3a2577bccd731492c037135ddc516104e12e61c45617644a53353f899c835bebe5148004b6cdd902dac39,,01/30/2022 08:45:00 AM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,,CURVE ON GRADE,SNOW OR SLUSH,DEBRIS ON ROADWAY,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/30/2022 08:45:00 AM,UNABLE TO DETERMINE,WEATHER,3,W,TERMINAL ST,1653,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,1,1,,,
4deea774005f687fbb7ec985695647b94663d73de3c63ed326647f95a10b30591f99e86246edbed7eff3a2d52f7ac6e621f01f5be97dfb0f5190d72fd7757eec,,12/20/2022 11:45:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR TO FRONT,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",12/20/2022 11:55:00 AM,IMPROPER BACKING,FAILING TO YIELD RIGHT-OF-WAY,524,W,OHARE ST,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,3,12,,,
4e661d1348b236fc49d6f3299e61098d55a0b9506e8f54d13d223cecb17a203d5c49dd3e2b168ae15509ec4c48c4e6b2c9e5d50c4f14c6c9d41792a45bff0afc,,06/11/2019 11:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,REAR END,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",06/11/2019 11:30,NOT APPLICABLE,NOT APPLICABLE,1,W,OHARE ST,1651,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,3,6,,,
4a1f7a24129e5e1d4a7a2fd44ab6f8822a20bcdb2f627f490af8975d8c14e9fadf2d7b533a09a7e8c2cc57a4b3563803d7d4eb4db3892337cf233f1f0f154013,,08/13/2023 10:10:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/13/2023 10:29:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3210,W,FOSTER AVE,1712,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,4,0,10,1,8,41.97585286,-87.70913432,POINT (-87.709134319958 41.975852858025)
1ee2180a89cc02c0b756f95b5b2755bb5cc9d93450f5caafaee5cb5c6aa75adafd251402ac205833ff78be9c9a0eb799f33d9c854975cf3a8e10c6a7d28116c7,,08/09/2023 19:55,30,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",08/09/2023 20:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7458,S,LAFAYETTE AVE,731,,,,,,,2,NONINCAPACITATING INJURY,5,0,0,5,0,0,0,19,4,8,41.75824551,-87.62652191,POINT (-87.626521907009 41.758245504966)
53f6ff25f1e140636dc6368312bb51969f4a672bb30e1c50a7c71bea59925e18344babc3f75fbb30f0b1358738ee24816640021f1ba3f57ea4e529152c2b2e8f,,03/22/2019 12:15:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/22/2019 12:20:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,524,W,OHARE ST,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,6,3,,,
54f5f783c7f29f20e7900998983fa945eb13aba9c2d2eb84a3bfd1afbcbe40eed29edc768314f64858fd78b3ac5597006c91a0c26a6cf70790adbbd23a152061,,03/29/2021 02:15:00 PM,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/29/2021 02:20:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,516,W,OHARE ST,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,14,2,3,,,
569af2dc0eaa9c5a55a01f1d5fd678644c3dd76d586b51f7b87b1b5c6c3cf8700b10a9fea3c98cfc8df295c8b4db1fe28c4209e34e3a021b50c56023c798d1f9,,09/18/2021 03:15:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",09/18/2021 03:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1,W,TERMINAL ST,1651,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,7,9,,,
57cfcdd70be67a9d66fd973426036aa20034e0f99b695207149cc51002a8c53d7801b1860869929c065660c6f3afa874bb36eb868784218dc931993ba7cd4bf7,,08/12/2019 6:40,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/12/2019 6:50,IMPROPER BACKING,NOT APPLICABLE,561,W,OHARE ST,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,2,8,,,
5bf5fb7b499fcc1352a12b6aa321710734296d5454a49d165bba4455d86e245a2e2f08197137ec381b30e44317bba535472931f3abb3e35483a0d71d570f9a83,,08/21/2022 02:50:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/21/2022 03:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1,W,TERMINAL ST,1651,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,14,1,8,,,
5d25817796664c7dea6ce93b67e5b54a05c48622926d4cbf4b873ca1c8a4662c30701ba717fe0ccdb5bb027e5275e2402ca5a77cd1f38a74504269699d1d947e,,07/20/2019 12:25:00 PM,55,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/20/2019 12:27:00 PM,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,13,W,I190 EXPY,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,7,7,,,
5029e85cd1c328238ba1fb1c19ea8b8cc5614e233132bb04c39d545734ca1f7a4b163e2d371439a1faa0bb6f17b4dfe6d0ea97ddd6bc0187bd479347bc79d7ac,,07/30/2023 05:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/31/2023 12:25:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,167,N,BESSIE COLEMAN DR,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,1,7,,,
64063a32537af636c3a234b85f6a67ecb159a34af31da51f86961959bce9cec811ae891cdf9c519c462e883749757bf53239ce9e74942d8d1e73cb81ea3dc859,,08/19/2023 04:50:00 PM,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",08/19/2023 05:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1100,W,DIVISION ST,1822,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,16,7,8,41.90363993,-87.65554697,POINT (-87.655546970003 41.903639930952)
